Order No,Order Date,Line No,Ship To Address No,Item Code,Order Qty,Quantity Shipped
529025,1/4/2019,7,2258543,1029071,1,1
529025,1/4/2019,8,2258543,1040776,2,2
529025,1/4/2019,9,2258543,1040765,3,3
529025,1/4/2019,10,2258543,1040774,1,1
529025,1/4/2019,11,2258543,1038323,3,3
529025,1/4/2019,12,2258543,1040992,1,1
529025,1/4/2019,13,2258543,1039311,1,1
529025,1/4/2019,14,2258543,1040991,1,1
529026,1/4/2019,1,2258543,1041107,1,1
529026,1/4/2019,2,2258543,1041105,1,1
529026,1/4/2019,3,2258543,1041108,1,1
529026,1/4/2019,4,2258543,1041106,1,1
529027,1/4/2019,2,43823775,10105916,1,1
529027,1/4/2019,3,43823775,10106230,1,1
529027,1/4/2019,4,43823775,110441,1,1
529027,1/4/2019,5,43823775,1029071,1,1
529027,1/4/2019,6,43823775,1029070,1,1
529027,1/4/2019,9,43823775,10098739,4,4
529027,1/4/2019,10,43823775,1040765,3,3
529027,1/4/2019,11,43823775,1040774,3,3
529027,1/4/2019,12,43823775,1038324,1,1
529027,1/4/2019,13,43823775,1039306,1,1
529027,1/4/2019,14,43823775,1039311,1,1
529028,1/4/2019,2,43823777,10106229,1,1
529028,1/4/2019,3,43823777,10106111,1,1
529028,1/4/2019,4,43823777,10106230,2,2
529028,1/4/2019,5,43823777,110441,1,1
529028,1/4/2019,6,43823777,1033341,1,1
529028,1/4/2019,7,43823777,10098739,4,4
529028,1/4/2019,8,43823777,1040765,1,1
529028,1/4/2019,9,43823777,1039305,1,1
529028,1/4/2019,10,43823777,1041105,1,1
529028,1/4/2019,11,43823777,1041108,1,1
529028,1/4/2019,12,43823777,1041106,2,2
529029,1/4/2019,3,1951810,10105916,1,1
529029,1/4/2019,4,1951810,10106230,1,1
529029,1/4/2019,5,1951810,110441,1,1
529029,1/4/2019,6,1951810,1029071,1,1
529029,1/4/2019,7,1951810,10098739,3,3
529029,1/4/2019,8,1951810,1040774,2,2
529029,1/4/2019,9,1951810,1040992,1,1
529029,1/4/2019,10,1951810,1039305,1,1
529029,1/4/2019,11,1951810,1041107,1,1
529029,1/4/2019,12,1951810,1041108,1,1
529029,1/4/2019,13,1951810,1041106,1,1
529030,1/4/2019,2,43823779,10105916,1,1
529030,1/4/2019,3,43823779,1040725,1,1
529030,1/4/2019,4,43823779,1040726,1,1
529030,1/4/2019,5,43823779,1029071,2,2
529030,1/4/2019,6,43823779,10098739,3,3
529030,1/4/2019,7,43823779,1040765,4,4
529030,1/4/2019,8,43823779,1039306,1,1
529030,1/4/2019,9,43823779,1040992,1,1
529030,1/4/2019,10,43823779,1039305,1,1
529030,1/4/2019,11,43823779,1041107,1,1
529030,1/4/2019,12,43823779,1041105,2,2
529030,1/4/2019,13,43823779,1041108,1,1
529030,1/4/2019,14,43823779,1041106,4,4
529031,1/4/2019,2,43823791,10105916,1,1
529031,1/4/2019,3,43823791,10106230,1,1
529031,1/4/2019,4,43823791,1029070,1,1
529031,1/4/2019,7,43823791,10098739,1,1
529031,1/4/2019,8,43823791,1040765,1,1
529031,1/4/2019,11,43823791,1040774,1,1
529031,1/4/2019,12,43823791,1039306,1,1
529031,1/4/2019,13,43823791,1041105,1,1
529031,1/4/2019,14,43823791,1041108,1,1
529031,1/4/2019,15,43823791,1041106,1,1
529032,1/4/2019,1,43824470,10106230,1,1
529032,1/4/2019,2,43824470,10098739,1,1
529032,1/4/2019,3,43824470,1040765,1,1
